TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660282621.127383, b'redis-server',718594,0,232,0
1660282621.227566, b'redis-server',718594,1,232,0
1660282621.227595, b'redis-server',718594,0,232,0
1660282621.327746, b'redis-server',718594,1,232,0
1660282621.327775, b'redis-server',718594,0,232,0
1660282621.427921, b'redis-server',718594,1,232,0
1660282621.427964, b'redis-server',718594,0,232,0
1660282621.528086, b'redis-server',718594,1,232,0
1660282621.528122, b'redis-server',718594,0,232,0
1660282621.628236, b'redis-server',718594,1,232,0
1660282621.628265, b'redis-server',718594,0,232,0
1660282621.728380, b'redis-server',718594,1,232,0
1660282621.728410, b'redis-server',718594,0,232,0
1660282621.828525, b'redis-server',718594,1,232,0
1660282621.828555, b'redis-server',718594,0,232,0
1660282621.928670, b'redis-server',718594,1,232,0
1660282621.928699, b'redis-server',718594,0,232,0
1660282622.028810, b'redis-server',718594,1,232,0
1660282622.028834, b'redis-server',718594,0,232,0
1660282622.128946, b'redis-server',718594,1,232,0
1660282622.128972, b'redis-server',718594,0,232,0
1660282622.224301, b'redis-server',718594,1,232,0
1660282622.224328, b'redis-server',718594,0,232,0
1660282622.324441, b'redis-server',718594,1,232,0
1660282622.324463, b'redis-server',718594,0,232,0
1660282622.424585, b'redis-server',718594,1,232,0
1660282622.424614, b'redis-server',718594,0,232,0
1660282622.524729, b'redis-server',718594,1,232,0
1660282622.524758, b'redis-server',718594,0,232,0
1660282622.624874, b'redis-server',718594,1,232,0
1660282622.624904, b'redis-server',718594,0,232,0
1660282622.681668, b'redis-server',718594,1,232,0
1660282622.681674, b'redis-server',718594,0,0,0
1660282622.681683, b'redis-server',718594,1,0,0
1660282622.681695, b'redis-server',718594,0,233,0
1660282622.681697, b'redis-server',718594,1,233,0
1660282622.681722, b'redis-server',718594,0,232,0
1660282622.681724, b'redis-server',718594,1,232,0
1660282622.681726, b'redis-server',718594,0,233,0
1660282622.681728, b'redis-server',718594,1,233,0
1660282622.681739, b'redis-server',718594,0,232,0
