PID,EVENT NAME,SIZE,NUM,UTime,STime,NVCSW,NIVCSW,ENTER TIME, RETURN TIME, TOTAL TIME
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.36, 1660551799.36, 0.09
